OTU ID,A_1,E_1,A_3,C_1,B_1,E_3,F_3,E_2,C_3,C_2,D_3,B_3,B_2,D_1,D_2,F_2,A_2,F_1
OTU7591,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU7042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU14215,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2
OTU2927,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
OTU5746,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU8792,2,0,3,0,2,5,0,2,0,0,2,1,0,1,3,1,10,3
OTU14857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU15539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU7238,0,4,1,0,3,0,2,0,4,1,0,2,0,1,6,0,0,0
OTU4754,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11214,0,1,2,1,2,0,0,3,4,3,2,0,8,0,2,5,2,1
OTU1407,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU11989,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,1
OTU10726,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU14786,4,1,0,1,12,0,2,1,0,0,0,0,0,2,1,1,0,2
OTU6068,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU1582,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
OTU13233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU4772,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4776,3,3,2,15,1,3,3,3,1,2,2,2,0,1,0,0,0,0
OTU4774,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU12485,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0
OTU12069,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0
OTU3763,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
OTU3890,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU9722,220,548,834,216,578,327,866,828,604,471,664,531,604,869,959,1211,341,645
OTU15680,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0
OTU5408,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
OTU5884,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU3695,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU10390,1,2,0,0,2,0,0,2,0,1,0,1,2,1,0,0,0,0
OTU2098,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU12240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU3232,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
OTU5065,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
OTU13089,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU14644,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,2
OTU5882,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU2457,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4
OTU12060,2,2,13,8,1,0,3,10,5,11,10,4,8,8,4,8,2,2
OTU6231,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
OTU5679,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
OTU247,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6731,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
OTU13506,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU13779,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU249,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11092,13,14,24,18,29,54,25,26,30,23,9,7,21,18,23,11,16,21
OTU8147,0,1,7,3,9,1,8,1,0,0,4,0,11,2,0,0,4,1
OTU13901,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU13052,0,1,0,3,0,1,0,0,1,0,0,3,0,3,1,0,0,0
OTU4247,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5588,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU9716,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU3739,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU4868,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
OTU1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU14009,1,2,8,2,1,6,20,5,3,6,3,7,2,6,5,9,3,7
OTU11393,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11582,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2
OTU9700,19,56,54,17,37,33,78,88,67,34,78,43,41,37,37,66,14,63
OTU3841,1,0,0,0,0,0,0,1,3,0,0,2,0,0,3,0,0,0
OTU10305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU3907,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU14625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
OTU7613,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0
OTU4251,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4374,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12355,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU7628,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU11871,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU11594,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
OTU7103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU13248,0,3,3,0,0,3,0,0,0,0,0,2,2,0,2,1,1,2
OTU14730,2,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0
OTU2656,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3578,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU11021,3,2,3,0,1,0,5,4,3,2,7,4,1,10,6,4,2,6
OTU269,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10892,14,6,4,4,9,22,12,8,9,4,3,2,5,2,2,1,5,3
OTU4015,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OTU726,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7822,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU12992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
OTU8865,20,13,18,12,7,13,4,6,16,9,10,12,1,6,14,5,11,9
OTU11821,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU3365,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
OTU7673,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OTU7823,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU5691,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
OTU11056,6,21,33,13,29,56,24,45,20,8,61,37,33,35,21,26,21,22
OTU4958,5,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,2,1
OTU12043,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU1034,8,1,0,2,0,3,1,1,0,2,0,5,1,2,1,0,3,0
OTU4762,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3737,2,3,0,7,0,6,3,3,1,3,0,3,0,3,2,0,2,1
OTU15252,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0
OTU11813,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU948,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU7289,0,4,0,0,7,3,2,0,1,0,1,0,0,0,5,4,0,1
OTU9906,2,3,1,0,5,1,3,0,6,3,4,0,1,2,2,8,1,3
OTU15814,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU11211,16,22,12,5,12,24,24,34,22,21,8,14,16,22,24,19,8,25
OTU12551,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU3392,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
OTU11513,0,3,0,0,6,8,0,0,0,0,1,0,1,7,2,1,2,1
OTU6590,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0
OTU14557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OTU5491,8,1,1,6,2,4,11,2,9,1,6,0,2,1,1,7,3,0
OTU11331,0,1,11,1,4,0,5,11,8,6,8,3,4,7,8,3,5,5
OTU14863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU2500,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU4002,2,0,2,1,2,4,0,8,1,1,3,5,1,8,1,2,0,5
OTU12755,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU10632,2,5,0,1,0,2,0,1,0,2,0,0,3,4,0,2,5,2
OTU11264,65,69,41,54,58,68,59,94,52,126,56,96,81,27,15,56,67,89
OTU12203,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU11611,2,1,4,3,8,7,3,0,2,1,2,11,4,5,4,3,5,1
