Source,Target,Type,Id,Label,Weight,e_correlation,correlation
n0,n11,Undirected,0,,0.876959,0.876959,1
n0,n17,Undirected,1,,0.786918,0.786918,1
n0,n22,Undirected,2,,0.925142,0.925142,1
n0,n33,Undirected,3,,0.877646,0.877646,1
n0,n34,Undirected,4,,0.796484,0.796484,1
n0,n39,Undirected,5,,0.81405,0.81405,1
n0,n60,Undirected,6,,0.769246,-0.769246,-1
n0,n76,Undirected,7,,0.89016,0.89016,1
n0,n90,Undirected,8,,0.84333,0.84333,1
n0,n95,Undirected,9,,0.855666,0.855666,1
n0,n127,Undirected,10,,0.90491,0.90491,1
n0,n128,Undirected,11,,0.791904,0.791904,1
n0,n131,Undirected,12,,0.852273,-0.852273,-1
n0,n154,Undirected,13,,0.792248,0.792248,1
n0,n156,Undirected,14,,0.92089,0.92089,1
n0,n168,Undirected,15,,0.750525,0.750525,1
n0,n179,Undirected,16,,0.931337,0.931337,1
n0,n183,Undirected,17,,0.853596,0.853596,1
n0,n199,Undirected,18,,0.778939,-0.778939,-1
n0,n234,Undirected,19,,0.881593,0.881593,1
n0,n235,Undirected,20,,0.895661,0.895661,1
n0,n242,Undirected,21,,0.77007,0.77007,1
n0,n246,Undirected,22,,0.890496,0.890496,1
n0,n273,Undirected,23,,0.790181,-0.790181,-1
n0,n335,Undirected,24,,0.824716,-0.824716,-1
n0,n339,Undirected,25,,0.83308,0.83308,1
n0,n344,Undirected,26,,0.826939,0.826939,1
n0,n379,Undirected,27,,0.867321,0.867321,1
n0,n402,Undirected,28,,0.755319,0.755319,1
n0,n409,Undirected,29,,0.882748,0.882748,1
n0,n425,Undirected,30,,0.759173,0.759173,1
n0,n435,Undirected,31,,0.870801,0.870801,1
n0,n447,Undirected,32,,0.810434,-0.810434,-1
n0,n489,Undirected,33,,0.883721,0.883721,1
n0,n492,Undirected,34,,0.764132,0.764132,1
n0,n502,Undirected,35,,0.915806,0.915806,1
n0,n507,Undirected,36,,0.863049,0.863049,1
n0,n562,Undirected,37,,0.853898,0.853898,1
n0,n573,Undirected,38,,0.840909,0.840909,1
n0,n587,Undirected,39,,0.810336,0.810336,1
n0,n596,Undirected,40,,0.893476,0.893476,1
n0,n604,Undirected,41,,0.804134,0.804134,1
n0,n648,Undirected,42,,0.817054,0.817054,1
n0,n658,Undirected,43,,0.950313,0.950313,1
n0,n686,Undirected,44,,0.860093,0.860093,1
n0,n688,Undirected,45,,0.851833,0.851833,1
n0,n696,Undirected,46,,0.84333,0.84333,1
n0,n702,Undirected,47,,0.770661,0.770661,1
n0,n706,Undirected,48,,0.761144,0.761144,1
n0,n753,Undirected,49,,0.790181,0.790181,1
n0,n768,Undirected,50,,0.836777,0.836777,1
n0,n775,Undirected,51,,0.907025,0.907025,1
n0,n788,Undirected,52,,0.865256,0.865256,1
n0,n823,Undirected,53,,0.877066,0.877066,1
n0,n824,Undirected,54,,0.909654,0.909654,1
n0,n834,Undirected,55,,0.806247,0.806247,1
n0,n840,Undirected,56,,0.842975,0.842975,1
n0,n862,Undirected,57,,0.935467,0.935467,1
n0,n900,Undirected,58,,0.841508,0.841508,1
n0,n910,Undirected,59,,0.901394,0.901394,1
