Id,Label,v_name,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,module,Phylum,Class,Order,Family,Genus,Species
n0,n0,OTU9722,69,58.456435,8,0.301893,0.375065,1438.274839,47,0.580563,1362,M2,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__uncultured_Acidobacteriaceae_bacterium_g__norank_f__norank_o__Vicinamibacterales
n1,n1,OTU12060,1,0.773849,1,1,1,0,4,0,0,M48,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
n2,n2,OTU9700,17,13.59938,10,0.255152,0.291146,2133.055425,31,0.330882,45,M1,p__Chloroflexi,c__KD4-96,o__norank_c__KD4-96,f__norank_o__norank_c__KD4-96,g__norank_f__norank_o__norank_c__KD4-96,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__KD4-96
n3,n3,OTU8865,5,3.789776,10,0.223197,0.246264,1020.969469,31,0,0,M1,p__Proteobacteria,c__Alphaproteobacteria,o__norank_c__Alphaproteobacteria,f__norank_o__norank_c__Alphaproteobacteria,g__norank_f__norank_o__norank_c__Alphaproteobacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Alphaproteobacteria
n4,n4,OTU11056,17,13.781529,10,0.263807,0.302078,1886.598616,12,0.426471,58,M1,p__Acidobacteriota,c__Subgroup_11,o__norank_c__Subgroup_11,f__norank_o__norank_c__Subgroup_11,g__norank_f__norank_o__norank_c__Subgroup_11,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Subgroup_11
n5,n5,OTU11211,1,0.807433,2,0.666667,0.75,0,0,0,0,M26,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__norank_o__Ardenticatenales,g__norank_f__norank_o__Ardenticatenales,s__unclassified_g__norank_f__norank_o__Ardenticatenales
n6,n6,OTU10438,15,11.770666,9,0.269859,0.312654,3030.595606,36,0.342857,36,M5,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Knoellia,s__uncultured_bacterium_g__Knoellia
n7,n7,OTU9050,21,16.477599,9,0.281315,0.328893,1071.266038,12,0.385714,81,M1,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
n8,n8,OTU10454,2,1.633993,2,0.666667,0.75,3,11,0,0,M14,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722,g__norank_f__AKYG1722,s__uncultured_bacterium_g__norank_f__AKYG1722
n9,n9,OTU9962,20,15.614997,9,0.276196,0.32343,285.951958,47,0.463158,88,M2,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
