Source,Target,Type,Id,Label,Weight,e_correlation,corr
n0,n22,Undirected,0,,0.953983,-0.953983,-1
n0,n65,Undirected,1,,0.962352,-0.962352,-1
n0,n123,Undirected,2,,0.987395,0.987395,1
n0,n181,Undirected,3,,0.962352,-0.962352,-1
n0,n192,Undirected,4,,0.953781,-0.953782,-1
n0,n362,Undirected,5,,0.953983,0.953983,1
n1,n303,Undirected,6,,0.983333,-0.983333,-1
n1,n677,Undirected,7,,0.979088,-0.979088,-1
n2,n65,Undirected,8,,0.95,-0.95,-1
n2,n163,Undirected,9,,0.966667,0.966667,1
n2,n508,Undirected,10,,0.953983,0.953983,1
n3,n118,Undirected,11,,0.978766,-0.978766,-1
n4,n57,Undirected,12,,0.966667,-0.966667,-1
n4,n184,Undirected,13,,0.962352,0.962352,1
n4,n612,Undirected,14,,0.95,0.95,1
n5,n38,Undirected,15,,0.95339,0.95339,1
n5,n69,Undirected,16,,0.949613,0.949613,1
n5,n85,Undirected,17,,0.982988,0.982988,1
n5,n162,Undirected,18,,0.95339,0.95339,1
n5,n170,Undirected,19,,0.957814,0.957814,1
n5,n277,Undirected,20,,0.95339,0.95339,1
n5,n331,Undirected,21,,0.957814,0.957814,1
n5,n342,Undirected,22,,0.974824,0.974824,1
n5,n452,Undirected,23,,0.949613,0.949613,1
n5,n462,Undirected,24,,0.953595,0.953595,1
n5,n503,Undirected,25,,0.966421,0.966421,1
n5,n528,Undirected,26,,0.949613,0.949613,1
n5,n594,Undirected,27,,0.966421,0.966421,1
n6,n464,Undirected,28,,0.957814,0.957814,1
n7,n208,Undirected,29,,0.966667,0.966667,1
n8,n103,Undirected,30,,0.962352,0.962352,1
n8,n543,Undirected,31,,0.953983,0.953983,1
n8,n551,Undirected,32,,0.987395,0.987395,1
n9,n38,Undirected,33,,0.952869,0.952869,1
n9,n69,Undirected,34,,0.978945,0.978945,1
n9,n239,Undirected,35,,0.974501,0.974501,1
n9,n254,Undirected,36,,0.96192,0.96192,1
n9,n264,Undirected,37,,0.953407,0.953407,1
n9,n277,Undirected,38,,0.978622,0.978622,1
n9,n331,Undirected,39,,0.974501,0.974501,1
n9,n402,Undirected,40,,0.978622,0.978622,1
n9,n462,Undirected,41,,0.970227,0.970227,1
n9,n496,Undirected,42,,0.974501,0.974501,1
n9,n503,Undirected,43,,0.953407,0.953407,1
n9,n541,Undirected,44,,0.953407,0.953407,1
n9,n558,Undirected,45,,0.953131,0.953131,1
n9,n594,Undirected,46,,0.978945,0.978945,1
n9,n612,Undirected,47,,0.953407,0.953407,1
n9,n620,Undirected,48,,0.973913,0.973913,1
n10,n510,Undirected,49,,0.962185,0.962185,1
n11,n455,Undirected,50,,0.970292,0.970292,1
n11,n597,Undirected,51,,0.97072,0.97072,1
n11,n641,Undirected,52,,0.953983,0.953983,1
n12,n114,Undirected,53,,0.97072,0.97072,1
n12,n154,Undirected,54,,0.966667,0.966667,1
n12,n228,Undirected,55,,0.979088,0.979088,1
n12,n617,Undirected,56,,0.95,-0.95,-1
n13,n123,Undirected,57,,0.948857,0.948857,1
n13,n126,Undirected,58,,0.961453,0.961453,1
n13,n192,Undirected,59,,0.948857,-0.948857,-1
n13,n224,Undirected,60,,0.948857,0.948857,1
n13,n604,Undirected,61,,0.978945,0.978945,1
n13,n668,Undirected,62,,0.957161,0.957161,1
n14,n257,Undirected,63,,0.979088,0.979088,1
n14,n576,Undirected,64,,0.966421,-0.966421,-1
n15,n236,Undirected,65,,0.966667,0.966667,1
n16,n479,Undirected,66,,0.949289,-0.949289,-1
n17,n181,Undirected,67,,0.95,-0.95,-1
n17,n230,Undirected,68,,0.953983,0.953983,1
n17,n369,Undirected,69,,0.95,0.95,1
n17,n470,Undirected,70,,0.953983,-0.953983,-1
n17,n658,Undirected,71,,0.966667,-0.966667,-1
n18,n477,Undirected,72,,0.965802,-0.965802,-1
