Id,Label,v_name,degree,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,weighted degree,module
n0,n0,OTU9722,6,0.533333,8,0.009246,13,0.159351,0.196513,796.133408,39,65,5.773846,M3
n1,n1,OTU11092,2,1,1,0.001511,1,1,1,0,0,0,1.962421,Others
n2,n2,OTU9700,3,0.333333,1,0.002835,14,0.131393,0.154362,333,127,95,2.87065,Others
n3,n3,OTU10892,1,0,0,0.000607,1,1,1,0,35,1,0.978766,Others
n4,n4,OTU10438,3,0.333333,1,0.012176,12,0.185556,0.223199,4937.474596,82,94,2.879018,M2
n5,n5,OTU9050,13,0.384615,30,0.310556,11,0.202916,0.271959,2313.478972,72,98,12.468887,Others
n6,n6,OTU9962,1,0,0,0.000607,1,1,1,0,1,3,0.957814,Others
n7,n7,OTU8055,1,0,0,0.000962,15,0.119328,0.13617,0,127,87,0.966667,M4
n8,n8,OTU9766,3,0.333333,1,0.004002,13,0.144714,0.176027,3251.868704,127,87,2.90373,M4
n9,n9,OTU10457,16,0.516667,62,0.46076,11,0.206173,0.280579,4397.309652,72,161,15.464327,M1
n10,n10,OTU9477,1,0,0,0.000607,1,1,1,0,2,5,0.962185,Others
n11,n11,OTU9491,3,0.666667,2,0.004048,16,0.13344,0.161212,31.5,19,56,2.894995,M2
n12,n12,OTU11485,4,0.333333,2,0.003904,14,0.139632,0.166161,867.550893,43,36,3.866475,M3
n13,n13,OTU9715,6,0.2,3,0.011149,13,0.181128,0.225249,3082.315438,39,36,5.744129,M3
n14,n14,OTU8019,2,0,0,0.001375,19,0.086305,0.097621,333,39,65,1.945509,M3
n15,n15,OTU9094,1,0,0,0.000607,1,1,1,0,3,6,0.966667,Others
n16,n16,OTU8516,1,0,0,0.000744,19,0.08253,0.092645,0,127,87,0.949289,M4
n17,n17,OTU8376,5,0.1,1,0.005372,14,0.149441,0.184996,3905,39,65,4.774633,M3
n18,n18,OTU9104,1,0,0,0.000607,1,1,1,0,4,7,0.965802,Others
n19,n19,OTU9648,1,0,0,0.000607,1,1,1,0,5,8,0.962034,Others
n20,n20,OTU7995,2,0,0,0.001744,17,0.117111,0.135558,333,19,56,1.931034,M2
n21,n21,OTU9394,2,1,1,0.002178,15,0.113451,0.131275,0,127,87,1.933071,M4
n22,n22,OTU8517,4,1,6,0.006336,14,0.146043,0.173083,0,39,65,3.895423,M3
n23,n23,OTU8311,5,0.3,3,0.007042,19,0.094058,0.118661,466,19,9,4.775179,Others
n24,n24,OTU9000,30,0.524138,228,0.985447,11,0.220317,0.31809,3719.281257,72,182,29.03137,M1
n25,n25,OTU9557,3,0.333333,1,0.003144,15,0.117772,0.139441,993,43,81,2.890479,Others
n26,n26,OTU5906,8,0.357143,10,0.010944,13,0.152511,0.192324,1953.217505,43,81,7.71353,Others
n27,n27,OTU9222,5,0.2,2,0.004874,13,0.147527,0.178725,3586,49,60,4.832112,Others
n28,n28,OTU11478,3,0,0,0.003361,14,0.152721,0.181205,1323,82,94,2.924773,M2
n29,n29,OTU8323,1,0,0,0.000607,1,1,1,0,6,10,0.95,Others
n30,n30,OTU8965,2,1,1,0.001694,19,0.093166,0.107263,0,19,56,1.944175,Others
n31,n31,OTU8678,2,0,0,0.001362,2,0.75,0.833333,2,16,39,1.907563,Others
n32,n32,OTU8330,1,0,0,0.000913,16,0.115252,0.130695,0,37,24,0.970142,Others
n33,n33,OTU9822,1,0,0,0.000729,2,0.666667,0.75,0,7,48,0.962352,Others
n34,n34,OTU9014,2,0,0,0.001239,1,1,1,1,8,11,1.928738,Others
n35,n35,OTU10213,3,0.333333,1,0.0026,5,0.428571,0.587037,18,29,71,2.894555,Others
n36,n36,OTU11992,4,0.333333,2,0.005493,13,0.151063,0.185501,1313.773547,37,24,3.882085,Others
n37,n37,OTU9673,2,1,1,0.001511,1,1,1,0,26,157,1.923729,Others
n38,n38,OTU9032,25,0.51,153,0.790568,11,0.21424,0.304067,1154.984264,72,158,24.094529,M1
n39,n39,OTU10607,2,1,1,0.001511,1,1,1,0,122,146,1.907966,Others
n40,n40,OTU9514,1,0,0,0.00088,4,0.347826,0.427083,0,60,46,0.949153,Others
n41,n41,OTU10613,1,0,0,0.000607,1,1,1,0,9,12,0.953983,Others
n42,n42,OTU9213,1,0,0,0.000607,1,1,1,0,10,13,0.961243,Others
n43,n43,OTU13291,1,0,0,0.000607,1,1,1,0,11,159,0.966387,Others
n44,n44,OTU8813,2,1,1,0.001648,2,0.75,0.833333,0,63,49,1.906567,Others
n45,n45,OTU6571,1,0,0,0.000729,2,0.666667,0.75,0,12,35,0.96192,Others
n46,n46,OTU9691,2,0,0,0.001362,2,0.75,0.833333,2,18,43,1.928455,Others
n47,n47,OTU9410,1,0,0,0.000729,2,0.666667,0.75,0,76,62,0.95,Others
n48,n48,OTU8341,1,0,0,0.000742,4,0.4,0.520833,0,13,14,0.983333,Others
n49,n49,OTU2033,1,0,0,0.000607,1,1,1,0,14,41,0.957662,Others
n50,n50,OTU11385,1,0,0,0.000607,1,1,1,0,15,15,0.949289,Others
n51,n51,OTU8656,2,0,0,0.001374,3,0.571429,0.708333,3,22,93,1.899613,Others
n52,n52,OTU10623,7,0.619048,13,0.012325,17,0.114974,0.14818,3554.15,19,9,6.759694,Others
n53,n53,OTU8674,1,0,0,0.011219,13,0.15045,0.178059,0,72,42,0.95,M1
n54,n54,OTU9896,1,0,0,0.000921,17,0.104669,0.119105,0,67,17,0.978945,Others
n55,n55,OTU11972,20,0.726316,138,0.733476,12,0.192396,0.273533,41.150581,72,21,19.263131,M1
n56,n56,OTU10788,2,0,0,0.001362,2,0.75,0.833333,2,16,39,1.920035,Others
n57,n57,OTU11569,9,0.277778,10,0.015763,13,0.176626,0.225323,4816.976151,82,94,8.678202,M2
n58,n58,OTU10669,3,1,3,0.0066,14,0.15079,0.182615,0,81,25,2.907501,M1
n59,n59,OTU11931,1,0,0,0.000894,4,0.416667,0.516667,0,89,106,0.966253,Others
n60,n60,OTU10517,3,0.333333,1,0.002448,18,0.089882,0.105996,993,127,87,2.932594,M4
n61,n61,OTU9027,1,0,0,0.001578,14,0.15286,0.176573,0,19,16,0.953983,M2
n62,n62,OTU9433,11,0.327273,18,0.13445,12,0.185453,0.248046,1477.31402,81,25,10.604498,M1
n63,n63,OTU6244,1,0,0,0.000607,1,1,1,0,17,88,0.966387,Others
n64,n64,OTU9193,1,0,0,0.000729,2,0.666667,0.75,0,47,28,0.979088,Others
n65,n65,OTU5996,4,0.333333,2,0.005231,13,0.150995,0.184568,852.619767,127,95,3.845685,Others
n66,n66,OTU10331,1,0,0,0.001051,16,0.116053,0.132645,0,67,17,0.962352,Others
n67,n67,OTU10292,1,0,0,0.000607,1,1,1,0,42,26,0.953983,Others
n68,n68,OTU11014,1,0,0,0.000607,1,1,1,0,20,18,0.966421,Others
n69,n69,OTU9351,21,0.514286,108,0.628277,11,0.213419,0.297295,4427.891286,72,68,20.239561,M1
n70,n70,OTU8766,1,0,0,0.000729,2,0.666667,0.75,0,133,167,0.95,Others
n71,n71,OTU10162,2,0,0,0.001362,2,0.75,0.833333,2,18,43,1.928341,Others
n72,n72,OTU11461,6,0.333333,5,0.00905,14,0.1665,0.209503,6722.811691,19,16,5.783087,M2
n73,n73,OTU10560,1,0,0,0.000729,2,0.666667,0.75,0,36,23,0.953407,Others
n74,n74,OTU10773,4,0.666667,4,0.005839,14,0.134298,0.163044,45.5,43,81,3.874113,Others
n75,n75,OTU7971,1,0,0,0.000607,1,1,1,0,24,19,0.961595,Others
