Source,Target,Type,Id,Label,Weight,e_correlation,correlation
n0,n11,Undirected,0,,0.966667,0.966667,1
n0,n72,Undirected,1,,0.983333,0.983333,1
n0,n401,Undirected,2,,0.983333,0.983333,1
n0,n408,Undirected,3,,0.966667,0.966667,1
n0,n469,Undirected,4,,0.966667,-0.966667,-1
n1,n235,Undirected,5,,0.962102,0.962102,1
n2,n10,Undirected,6,,0.966421,0.966421,1
n3,n315,Undirected,7,,0.962034,-0.962034,-1
n4,n378,Undirected,8,,0.961864,-0.961864,-1
n5,n109,Undirected,9,,0.983192,-0.983192,-1
n5,n154,Undirected,10,,0.983192,-0.983192,-1
n5,n273,Undirected,11,,0.974679,-0.974679,-1
n6,n401,Undirected,12,,0.974824,0.974824,1
n7,n45,Undirected,13,,0.97072,0.97072,1
n7,n444,Undirected,14,,0.970588,0.970588,1
n8,n48,Undirected,15,,0.966667,-0.966667,-1
n9,n260,Undirected,16,,0.962352,0.962352,1
n9,n304,Undirected,17,,0.966667,0.966667,1
n9,n414,Undirected,18,,0.983192,-0.983192,-1
n10,n70,Undirected,19,,0.962352,0.962352,1
n11,n309,Undirected,20,,0.966667,0.966667,1
n12,n241,Undirected,21,,0.991632,-0.991632,-1
n12,n250,Undirected,22,,0.966667,0.966667,1
n12,n348,Undirected,23,,1,1,1
n12,n406,Undirected,24,,0.970542,-0.970542,-1
n12,n447,Undirected,25,,0.962102,-0.962102,-1
n13,n57,Undirected,26,,0.974501,0.974501,1
n13,n59,Undirected,27,,0.974501,0.974501,1
n13,n101,Undirected,28,,0.961048,-0.961048,-1
n14,n315,Undirected,29,,0.966253,-0.966253,-1
n15,n202,Undirected,30,,0.97433,0.97433,1
n16,n200,Undirected,31,,0.978622,-0.978622,-1
n17,n23,Undirected,32,,0.978803,0.978803,1
n17,n49,Undirected,33,,0.96624,0.96624,1
n17,n310,Undirected,34,,0.965847,-0.965847,-1
n17,n340,Undirected,35,,0.965517,0.965517,1
n17,n435,Undirected,36,,0.983192,0.983192,1
n18,n112,Undirected,37,,0.966387,-0.966387,-1
n19,n173,Undirected,38,,0.957662,-0.957662,-1
n19,n276,Undirected,39,,0.962352,-0.962352,-1
n20,n164,Undirected,40,,0.978945,0.978945,1
n21,n235,Undirected,41,,0.966667,0.966667,1
n21,n373,Undirected,42,,0.983333,0.983333,1
n22,n172,Undirected,43,,0.97479,-0.97479,-1
n23,n49,Undirected,44,,0.97072,0.97072,1
n23,n310,Undirected,45,,0.978912,-0.978912,-1
n23,n340,Undirected,46,,0.978803,0.978803,1
n23,n435,Undirected,47,,0.979088,0.979088,1
n24,n115,Undirected,48,,0.966253,0.966253,1
n25,n175,Undirected,49,,0.957161,-0.957161,-1
n26,n93,Undirected,50,,0.957814,-0.957814,-1
n27,n183,Undirected,51,,0.991632,0.991632,1
n28,n111,Undirected,52,,0.966092,0.966092,1
n28,n171,Undirected,53,,0.974245,-0.974245,-1
n29,n98,Undirected,54,,0.970339,0.970339,1
n30,n428,Undirected,55,,0.966253,-0.966253,-1
n31,n81,Undirected,56,,0.966667,0.966667,1
n32,n63,Undirected,57,,0.987243,0.987243,1
n33,n44,Undirected,58,,0.97072,0.97072,1
n33,n229,Undirected,59,,0.970588,0.970588,1
n34,n94,Undirected,60,,0.974679,0.974679,1
n35,n345,Undirected,61,,0.966667,0.966667,1
n36,n250,Undirected,62,,0.983333,0.983333,1
n36,n397,Undirected,63,,0.966667,0.966667,1
n36,n447,Undirected,64,,0.987421,-0.987421,-1
n37,n147,Undirected,65,,0.965953,0.965953,1
n37,n314,Undirected,66,,0.96192,0.96192,1
n38,n185,Undirected,67,,0.962034,-0.962034,-1
n39,n176,Undirected,68,,0.957061,0.957061,1
