Id,Label,v_name,degree,weighted degree,modularity_class,stat_inf_class,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,module
n0,n0,OTU9722,5,4.866667,24,4,0.5,5,0.436422,17,0.107383,0.188264,157.166667,Others
n1,n1,OTU12060,1,0.962102,123,0,0,0,0.02158,3,0.5,0.583333,0,Others
n2,n2,OTU9700,1,0.966421,1,5,0,0,0.009677,2,0.666667,0.75,0,Others
n3,n3,OTU10892,1,0.962034,2,1,0,0,0.009677,2,0.666667,0.75,0,Others
n4,n4,OTU8865,1,0.961864,0,2,0,0,0.005512,1,1,1,0,Others
n5,n5,OTU8055,3,2.941064,46,3,0.666667,2,0.064951,1,1,1,0.5,Others
n6,n6,OTU9766,1,0.974824,24,4,0,0,0.082234,18,0.096735,0.138739,0,Others
n7,n7,OTU10457,2,1.941308,29,36,1,1,0.171542,11,0.168067,0.218027,0,M3
n8,n8,OTU9477,1,0.966667,141,55,0,0,0.053503,19,0.0927,0.133187,0,M4
n9,n9,OTU8019,3,2.91221,106,95,0.333333,1,0.041789,1,1,1,2,Others
n10,n10,OTU8516,2,1.928772,1,5,0,0,0.013983,1,1,1,1,Others
n11,n11,OTU8376,2,1.933333,24,4,0,0,0.115916,18,0.097324,0.151239,79,Others
n12,n12,OTU9000,5,4.890943,29,36,0.6,6,0.654335,13,0.161616,0.246567,455,M2
n13,n13,OTU9557,3,2.910051,15,49,0.333333,1,0.041789,1,1,1,2,Others
n14,n14,OTU9097,1,0.966253,2,1,0,0,0.009677,2,0.666667,0.75,0,Others
n15,n15,OTU8335,1,0.97433,3,6,0,0,0.005512,1,1,1,0,Others
n16,n16,OTU3656,1,0.978622,4,7,0,0,0.005512,1,1,1,0,Others
n17,n17,OTU9871,5,4.8596,5,19,0.8,8,0.552525,1,1,1,0.666667,Others
n18,n18,OTU11478,1,0.966387,47,56,0,0,0.005512,1,1,1,0,Others
n19,n19,OTU8678,2,1.920013,141,55,1,1,0.063549,16,0.121951,0.174669,0,M4
n20,n20,OTU9248,1,0.978945,76,8,0,0,0.005512,1,1,1,0,Others
n21,n21,OTU11992,2,1.95,123,0,1,1,0.04316,2,0.666667,0.75,0,Others
n22,n22,OTU9673,1,0.97479,79,9,0,0,0.005512,1,1,1,0,Others
n23,n23,OTU10613,5,4.886326,5,19,0.8,8,0.552525,1,1,1,0.666667,Others
n24,n24,OTU14902,1,0.966253,30,58,0,0,0.017539,5,0.333333,0.433333,0,Others
n25,n25,OTU9213,1,0.957161,81,10,0,0,0.005512,1,1,1,0,Others
n26,n26,OTU8897,1,0.957814,36,43,0,0,0.005512,1,1,1,0,Others
n27,n27,OTU15392,1,0.991632,86,11,0,0,0.009677,2,0.666667,0.75,0,Others
n28,n28,OTU9148,2,1.940336,131,55,0,0,0.030235,16,0.107672,0.148903,79,Others
n29,n29,OTU10448,1,0.970339,41,48,0,0,0.005512,1,1,1,0,Others
n30,n30,OTU9691,1,0.966253,6,12,0,0,0.005512,1,1,1,0,Others
n31,n31,OTU8341,1,0.966667,100,55,0,0,0.034908,15,0.126183,0.162087,0,M1
n32,n32,OTU9271,1,0.987243,18,27,0,0,0.005512,1,1,1,0,Others
n33,n33,OTU8656,2,1.941308,7,13,0,0,0.013983,1,1,1,1,Others
n34,n34,OTU8647,1,0.974679,37,44,0,0,0.005512,1,1,1,0,Others
n35,n35,OTU8674,1,0.966667,8,14,0,0,0.005512,1,1,1,0,Others
n36,n36,OTU11972,3,2.937421,29,36,0.333333,1,0.243134,15,0.128205,0.191057,79,M2
n37,n37,OTU10788,2,1.927873,9,21,0,0,0.018639,2,0.75,0.833333,2,Others
n38,n38,OTU11422,1,0.962034,125,67,0,0,0.01166,4,0.4,0.520833,0,Others
n39,n39,OTU8396,2,1.940255,10,15,0,0,0.013983,1,1,1,1,Others
n40,n40,OTU8960,1,0.962352,14,23,0,0,0.005512,1,1,1,0,Others
n41,n41,OTU9046,1,0.962034,68,16,0,0,0.019248,2,0.6,0.666667,0,Others
n42,n42,OTU11110,1,0.974501,11,17,0,0,0.005512,1,1,1,0,Others
n43,n43,OTU9193,1,0.966667,101,90,0,0,0.009677,2,0.666667,0.75,0,Others
n44,n44,OTU5996,1,0.97072,7,13,0,0,0.009677,2,0.666667,0.75,0,Others
n45,n45,OTU10331,3,2.899492,29,36,0.333333,1,0.185091,11,0.168776,0.22636,156,M3
n46,n46,OTU11044,1,0.974824,12,18,0,0,0.005512,1,1,1,0,Others
n47,n47,OTU9632,3,2.928463,38,45,0,0,0.0259,1,1,1,3,Others
n48,n48,OTU9351,4,3.895474,141,55,0.5,3,0.18107,18,0.102041,0.17007,79,M4
n49,n49,OTU11375,3,2.903627,5,19,1,3,0.37431,2,0.714286,0.8,0,Others
n50,n50,OTU11461,1,0.991632,23,31,0,0,0.005512,1,1,1,0,Others
n51,n51,OTU7971,1,0.970588,13,20,0,0,0.005512,1,1,1,0,Others
n52,n52,OTU8135,1,0.966387,9,21,0,0,0.011248,3,0.5,0.611111,0,Others
n53,n53,OTU9102,2,1.953948,21,22,0,0,0.013983,1,1,1,1,Others
n54,n54,OTU9885,1,0.962352,14,23,0,0,0.005512,1,1,1,0,Others
n55,n55,OTU9482,2,1.923916,30,58,0,0,0.04171,3,0.538462,0.619048,12,Others
n56,n56,OTU8220,1,0.965847,147,24,0,0,0.01166,4,0.4,0.520833,0,Others
n57,n57,OTU15446,2,1.940888,15,49,1,1,0.035303,2,0.75,0.833333,0,Others
n58,n58,OTU9352,1,0.966253,149,36,0,0,0.03042,15,0.121766,0.160963,0,M2
n59,n59,OTU11165,2,1.940888,15,49,1,1,0.035303,2,0.75,0.833333,0,Others
n60,n60,OTU8506,1,0.987421,16,25,0,0,0.005512,1,1,1,0,Others
n61,n61,OTU8917,4,3.911573,100,55,0.666667,4,0.51314,13,0.160643,0.235746,56,M1
n62,n62,OTU9267,2,1.932754,17,26,0,0,0.013983,1,1,1,1,Others
n63,n63,OTU10979,1,0.987243,18,27,0,0,0.005512,1,1,1,0,Others
n64,n64,OTU8693,1,0.966253,19,28,0,0,0.005512,1,1,1,0,Others
n65,n65,OTU9083,1,0.957814,20,29,0,0,0.005512,1,1,1,0,Others
n66,n66,OTU10768,1,0.991597,21,22,0,0,0.009677,2,0.666667,0.75,0,Others
n67,n67,OTU10018,1,0.966421,42,50,0,0,0.005512,1,1,1,0,Others
n68,n68,OTU9397,1,0.979088,22,30,0,0,0.005512,1,1,1,0,Others
n69,n69,OTU383,1,0.991632,23,31,0,0,0.005512,1,1,1,0,Others
n70,n70,OTU8153,1,0.962352,1,5,0,0,0.009677,2,0.666667,0.75,0,Others
n71,n71,OTU9057,1,0.962102,131,55,0,0,0.014402,17,0.097324,0.124988,0,Others
n72,n72,OTU8092,5,4.883333,24,4,0.6,6,0.487753,16,0.118519,0.203388,289.666667,Others
n73,n73,OTU8098,3,2.895685,29,36,0.666667,2,0.557715,12,0.164271,0.232254,27,M3
n74,n74,OTU9417,1,0.987351,25,32,0,0,0.005512,1,1,1,0,Others
n75,n75,OTU6791,4,3.862974,50,54,0,0,0.047533,2,0.833333,0.9,9,Others
n76,n76,OTU11192,1,0.982942,26,33,0,0,0.005512,1,1,1,0,Others
n77,n77,OTU8570,1,0.987288,27,34,0,0,0.005512,1,1,1,0,Others
n78,n78,OTU10817,1,0.991632,44,52,0,0,0.005512,1,1,1,0,Others
n79,n79,OTU9829,1,0.957814,67,83,0,0,0.009677,2,0.666667,0.75,0,Others
n80,n80,OTU10926,1,0.965953,28,35,0,0,0.005512,1,1,1,0,Others
n81,n81,OTU8736,2,1.958298,100,55,0,0,0.138573,14,0.144144,0.201276,79,M1
n82,n82,OTU9459,3,2.933333,29,36,1,3,0.353784,13,0.136286,0.189722,0,M3
n83,n83,OTU9231,3,2.902979,30,58,0.333333,1,0.05926,3,0.538462,0.666667,12,Others
n84,n84,OTU8297,2,1.974965,31,105,1,1,0.027681,1,1,1,0,Others
n85,n85,OTU9549,2,1.945297,142,37,1,1,0.027681,1,1,1,0,Others
n86,n86,OTU11589,3,2.907516,141,55,1,3,0.168361,18,0.101911,0.16382,0,M4
n87,n87,OTU9541,1,0.995825,77,38,0,0,0.016356,3,0.5,0.583333,0,Others
n88,n88,OTU10055,1,0.96178,32,39,0,0,0.005512,1,1,1,0,Others
n89,n89,OTU8202,2,1.932841,29,36,0,0,0.055474,12,0.145191,0.186342,79,M3
n90,n90,OTU8130,1,0.969966,33,40,0,0,0.005512,1,1,1,0,Others
n91,n91,OTU9162,1,0.966667,34,41,0,0,0.005512,1,1,1,0,Others
n92,n92,OTU9775,1,0.965953,35,42,0,0,0.005512,1,1,1,0,Others
n93,n93,OTU10153,1,0.957814,36,43,0,0,0.005512,1,1,1,0,Others
n94,n94,OTU8372,1,0.974679,37,44,0,0,0.005512,1,1,1,0,Others
n95,n95,OTU10443,1,0.983131,38,45,0,0,0.014688,2,0.6,0.666667,0,Others
n96,n96,OTU10934,1,0.966421,39,46,0,0,0.005512,1,1,1,0,Others
n97,n97,OTU11067,1,0.979088,40,47,0,0,0.005512,1,1,1,0,Others
n98,n98,OTU11625,1,0.970339,41,48,0,0,0.005512,1,1,1,0,Others
n99,n99,OTU11279,1,0.974824,96,86,0,0,0.009677,2,0.666667,0.75,0,Others
n100,n100,OTU9376,2,1.928534,141,55,0,0,0.102762,16,0.124417,0.192585,511,M4
n101,n101,OTU9915,1,0.961048,15,49,0,0,0.019248,2,0.6,0.666667,0,Others
n102,n102,OTU13892,1,0.966421,42,50,0,0,0.005512,1,1,1,0,Others
n103,n103,OTU8257,1,0.966387,43,51,0,0,0.005512,1,1,1,0,Others
n104,n104,OTU8017,2,1.936975,149,36,0,0,0.052928,15,0.122888,0.175546,231,M2
n105,n105,OTU11315,1,0.991632,44,52,0,0,0.005512,1,1,1,0,Others
n106,n106,OTU2561,1,0.982795,57,63,0,0,0.005512,1,1,1,0,Others
n107,n107,OTU10948,1,0.961048,50,54,0,0,0.022393,3,0.5,0.566667,0,Others
n108,n108,OTU9285,1,0.964901,45,53,0,0,0.005512,1,1,1,0,Others
n109,n109,OTU8848,3,2.913963,46,3,0.666667,2,0.064951,1,1,1,0.5,Others
n110,n110,OTU1025,1,0.974576,50,54,0,0,0.014901,3,0.416667,0.5,0,Others
n111,n111,OTU11764,1,0.966092,131,55,0,0,0.014402,17,0.097324,0.124988,0,Others
n112,n112,OTU9504,1,0.966387,47,56,0,0,0.005512,1,1,1,0,Others
n113,n113,OTU8811,3,2.912351,29,36,1,3,0.565649,12,0.163599,0.228087,0,M3
n114,n114,OTU13081,2,1.944651,48,57,1,1,0.027681,1,1,1,0,Others
n115,n115,OTU4043,3,2.898776,30,58,0,0,0.036455,4,0.466667,0.630952,11,Others
n116,n116,OTU9240,1,0.962352,49,59,0,0,0.005512,1,1,1,0,Others
