	YC1	YC2	SP1	SP2	DMA1	DMA2	DMA3	DMA4	DMA5	DMA6	GP1	GP2	GP3	Y
A1	49.19895898	56.84611624	30.53442502	32.56226735	37.97177165	41.57621473	38.90882268	43.76229912	45.91599206	45.8290884	61.6735952	63.7344233	57.50054843	69.63393128
A2	48.30551335	54.86834761	29.01298469	31.9025875	38.41737224	38.98386726	38.81609441	42.56335273	45.80062236	43.12645182	57.95472257	62.6195542	58.35678786	66.41609455
A3	49.23759592	55.61376491	31.28280331	33.01645522	40.59918737	42.46846712	40.96224149	44.08213328	44.06343097	47.77318573	62.29911664	62.12741301	56.7044585	68.02348054
A4	50.13073438	55.25674958	31.72940434	30.84383261	43.27810382	42.70090084	40.72243222	40.81113705	43.59921257	46.51931462	57.98058908	62.00381954	59.70870439	72.21278114
A5	48.4988196	54.77665516	30.41441183	34.32086022	42.16923402	43.06676283	35.64638017	45.66319407	45.16027754	50.19935007	61.70164754	64.35744059	59.84959956	72.25769021
A6	50.64898095	54.85552741	30.21615699	31.39646875	38.75086505	37.13442522	43.18520426	44.3448221	44.72603763	46.35237875	62.96098641	58.39412433	60.2966947	75.01393319
A7	50.31827843	56.2154012	29.88656238	30.54115059	41.6518458	42.66213387	41.52442405	41.14515851	44.01446089	45.00536273	57.33120411	58.1265249	56.56037994	69.99104923
A8	49.00536347	54.75825022	33.24212377	31.64908217	39.90286329	42.93135024	46.07403548	43.12547247	45.08393068	46.83488474	62.99158661	62.53905961	59.21447007	66.26043297
A9	50.24895744	52.55478101	30.4144733	32.14670848	40.6026273	37.73667466	42.4389163	44.64756272	43.68000347	42.44322505	58.67826125	60.68880687	57.11188462	68.07895743
A10	50.82288928	54.7649329	29.76255896	33.62362121	40.52072298	44.86609692	40.06138545	44.28278126	45.16122635	43.49231784	60.79475415	61.19241355	58.9992307	71.02122126
A11	51.16720478	55.64774873	26.2381233	32.91120968	45.15089953	44.35251264	46.87452141	46.40844824	44.37507161	47.53081975	60.54496118	62.92732118	61.68524784	74.75034084
A12	49.76586689	55.73974686	27.65207735	32.14245843	37.62942238	48.89885808	46.94767465	41.59012816	45.95716427	45.0006373	58.84656976	62.95856712	57.99294943	70.27502281
A13	49.89699953	55.73988138	29.8834902	30.61051648	40.20183972	42.47010896	38.44070519	45.56711422	47.42448914	45.80211716	60.72387775	60.31705669	60.43336664	72.85096706
A14	49.90461445	52.96947817	30.30944107	31.13396226	36.44004542	42.14020058	41.98496711	45.38406042	44.08402076	45.65433487	56.6778365	60.18738594	57.50066283	71.92020326
A15	51.58560793	55.44249047	30.41530869	31.83671507	41.17967185	42.2897575	40.55638147	42.6262888	46.05766417	44.04846214	59.63243045	61.19135638	58.04294358	67.07977094
A16	51.23757908	56.16143105	31.23226017	34.55302611	42.19321694	42.20929869	41.39280741	40.75536861	45.82514973	39.94393402	62.22963525	63.76384625	59.8774435	69.57221837
A17	50.91784172	56.53189442	29.70877139	30.13977243	42.89132448	36.45458167	41.47783973	40.49496606	44.92980578	47.04650491	54.12986345	62.10765327	57.64177546	73.26315384
