X,TOC,NH,NO,CL,PPO,PO,β-G,Nmin,DEA,AOA,Chao1,Shannon
I1,16,49.34,7.55,0.59,0.21,0.95,13.47,1.01,74.32,0.21,4256.87,5.53
I2,15.96,48.91,8.49,0.68,0.22,0.91,13.77,0.89,73.31,0.22,4586.74,5.77
I3,16.32,49.23,10.8,0.55,0.18,0.84,14.61,0.95,78.41,0.19,4175.09,5.31
I4,16.06,55.28,3.98,0.75,0.15,0.79,13.23,0.71,8,0.18,4886.46,6.21
I5,16.07,58.3,3.07,0.59,0.18,0.77,12.8,0.55,7.87,0.21,4400.6,5.81
I6,15.61,55.05,3.28,0.59,0.19,0.83,13.54,0.6,9.29,0.21,4821.51,6.22
I7,14.43,50.89,3.85,0.84,0.2,1.06,15.71,0.32,8.5,0.18,4508.29,5.95
I8,14.77,52.35,3.61,0.72,0.2,0.93,15.34,0.41,10.3,0.21,4954.42,6.31
I9,14.58,51.37,3.77,0.75,0.2,0.92,14.45,0.32,8.69,0.17,4641.45,6.06
I10,17.89,62.08,4.36,0.63,0.17,0.71,10.77,0.12,8.9,0.43,4386.05,5.83
I11,17.32,62.29,4.9,0.66,0.19,0.78,10.22,0.13,11.99,0.38,4289.93,5.97
I12,17.98,63.09,4.52,0.53,0.19,0.81,11.1,0.29,12.36,0.39,4593.1,6.05
I13,17.88,61.02,6.49,0.76,0.16,0.83,16.33,0.11,14.8,0.32,4034.92,5.56
I14,17.62,58.24,5.93,0.65,0.18,0.93,16.41,0.33,17.11,0.33,4565.4,6.11
I15,17.64,59.12,5.82,0.72,0.2,0.95,16.91,0.25,18.76,0.29,4078.66,5.74
I16,16.46,44.18,8.07,0.71,0.22,0.88,14.27,0.61,31.62,0.28,4560.86,6.25
I17,16.19,43.9,7.35,0.63,0.19,0.82,14.28,0.56,28.72,0.26,4059.08,5.65
I18,16.4,46.55,7.02,0.6,0.2,0.89,13.28,0.66,28.87,0.28,4391.71,5.9
I19,15.25,49.27,13.52,0.74,0.19,0.67,17.14,0.47,42.57,0.28,5152.54,6.45
I20,15.2,49.29,14.6,0.82,0.23,0.62,18.47,0.61,50.27,0.25,5110.34,6.44
I21,15.67,48.24,15.41,0.7,0.19,0.58,16.84,0.68,59.84,0.27,5282.52,6.74
I22,15.55,47.83,8.12,1,0.14,0.58,11.66,0.77,25.1,0.23,4158.83,5.46
I23,15.22,50.21,6.15,0.87,0.16,0.57,11.12,1.04,19.35,0.23,3940.52,5.09
I24,15.03,48.4,6.52,0.95,0.16,0.58,11.2,1.11,17.09,0.26,4271.96,5.11
I25,14.93,48.11,8.01,0.89,0.21,0.67,17.71,0.98,16.81,0.22,4392.96,5.77
I26,15.14,49.16,7.39,0.85,0.2,0.6,16.95,0.85,13.07,0.22,3870.04,5.2
I27,15.47,48.12,7.8,0.82,0.17,0.51,16.65,0.58,14.06,0.26,4042.21,5.17
I28,16.38,48.99,11.39,0.45,0.12,0.59,11.35,1.37,23.6,0.27,4480.43,5.84
I29,15.38,47.07,13.29,0.46,0.15,0.63,11.68,1.21,21.79,0.29,4507.44,5.69
I30,16.26,49.11,12.21,0.36,0.13,0.71,12.35,0.86,21.64,0.35,4756.02,6
I31,16.77,43.54,7.67,0.66,0.22,0.52,18.39,0.51,12.67,0.37,4546,6.23
