	TOC	NH	NO	CL	PPO	PO	β-G	Nmin	DEA	AOA	Chao1	Shannon
A1	16.00	49.34	7.55 	0.59 	0.21 	0.95 	13.47 	1.01 	74.32 	0.21 	4256.87 	5.53 
A2	15.96	48.91	8.49 	0.68 	0.22 	0.91 	13.77 	0.89 	73.31 	0.22 	4586.74 	5.77 
A3	16.32	49.23	10.80 	0.55 	0.18 	0.84 	14.61 	0.95 	78.41 	0.19 	4175.09 	5.31 
A4	16.06	55.28	3.98 	0.75 	0.15 	0.79 	13.23 	0.71 	8.00 	0.18 	4886.46 	6.21 
A5	16.07	58.30	3.07 	0.59 	0.18 	0.77 	12.80 	0.55 	7.87 	0.21 	4400.60 	5.81 
A6	15.61	55.05	3.28 	0.59 	0.19 	0.83 	13.54 	0.60 	9.29 	0.21 	4821.51 	6.22 
A7	14.43	50.89	3.85 	0.84 	0.20 	1.06 	15.71 	0.32 	8.50 	0.18 	4508.29 	5.95 
A8	14.77	52.35	3.61 	0.72 	0.20 	0.93 	15.34 	0.41 	10.30 	0.21 	4954.42 	6.31 
A9	14.58	51.37	3.77 	0.75 	0.20 	0.92 	14.45 	0.32 	8.69 	0.17 	4641.45 	6.06 
A10	17.89	62.08	4.36 	0.63 	0.17 	0.71 	10.77 	0.12 	8.90 	0.43 	4386.05 	5.83 
A11	17.32	62.29	4.90 	0.66 	0.19 	0.78 	10.22 	0.13 	11.99 	0.38 	4289.93 	5.97 
A12	17.98	63.09	4.52 	0.53 	0.19 	0.81 	11.10 	0.29 	12.36 	0.39 	4593.10 	6.05 
A13	17.88	61.02	6.49 	0.76 	0.16 	0.83 	16.33 	0.11 	14.80 	0.32 	4034.92 	5.56 
A14	17.62	58.24	5.93 	0.65 	0.18 	0.93 	16.41 	0.33 	17.11 	0.33 	4565.40 	6.11 
A15	17.64	59.12	5.82 	0.72 	0.20 	0.95 	16.91 	0.25 	18.76 	0.29 	4078.66 	5.74 
A16	16.46	44.18	8.07 	0.71 	0.22 	0.88 	14.27 	0.61 	31.62 	0.28 	4560.86 	6.25 
A17	16.19	43.90	7.35 	0.63 	0.19 	0.82 	14.28 	0.56 	28.72 	0.26 	4059.08 	5.65 
A18	16.40	46.55	7.02 	0.60 	0.20 	0.89 	13.28 	0.66 	28.87 	0.28 	4391.71 	5.90 
A19	15.25	49.27	13.52 	0.74 	0.19 	0.67 	17.14 	0.47 	42.57 	0.28 	5152.54 	6.45 
A20	15.20	49.29	14.60 	0.82 	0.23 	0.62 	18.47 	0.61 	50.27 	0.25 	5110.34 	6.44 
A21	15.67	48.24	15.41 	0.70 	0.19 	0.58 	16.84 	0.68 	59.84 	0.27 	5282.52 	6.74 
A22	15.55	47.83	8.12 	1.00 	0.14 	0.58 	11.66 	0.77 	25.10 	0.23 	4158.83 	5.46 
A23	15.22	50.21	6.15 	0.87 	0.16 	0.57 	11.12 	1.04 	19.35 	0.23 	3940.52 	5.09 
A24	15.03	48.40	6.52 	0.95 	0.16 	0.58 	11.20 	1.11 	17.09 	0.26 	4271.96 	5.11 
A25	14.93	48.11	8.01 	0.89 	0.21 	0.67 	17.71 	0.98 	16.81 	0.22 	4392.96 	5.77 
A26	15.14	49.16	7.39 	0.85 	0.20 	0.60 	16.95 	0.85 	13.07 	0.22 	3870.04 	5.20 
A27	15.47	48.12	7.80 	0.82 	0.17 	0.51 	16.65 	0.58 	14.06 	0.26 	4042.21 	5.17 
A28	16.38	48.99	11.39 	0.45 	0.12 	0.59 	11.35 	1.37 	23.60 	0.27 	4480.43 	5.84 
A29	15.38	47.07	13.29 	0.46 	0.15 	0.63 	11.68 	1.21 	21.79 	0.29 	4507.44 	5.69 
A30	16.26	49.11	12.21 	0.36 	0.13 	0.71 	12.35 	0.86 	21.64 	0.35 	4756.02 	6.00 
A31	16.77	43.54	7.67 	0.66 	0.22 	0.52 	18.39 	0.51 	12.67 	0.37 	4546.00 	6.23 
A32	16.57	38.64	7.22 	0.54 	0.23 	0.52 	19.11 	0.42 	11.66 	0.33 	4358.44 	6.04 
A33	16.00	40.86	6.54 	0.60 	0.25 	0.57 	18.76 	0.69 	12.43 	0.38 	4406.12 	6.11 
A34	16.00	39.65	10.23 	0.50 	0.24 	0.60 	9.97 	0.65 	23.39 	0.28 	3905.75 	5.00 
A35	15.41	39.17	9.04 	0.46 	0.23 	0.59 	10.08 	1.05 	16.94 	0.30 	4099.94 	5.08 
A36	15.73	40.98	8.52 	0.44 	0.24 	0.62 	10.81 	1.04 	19.95 	0.30 	4117.98 	5.18 
